adapter,case_id,confidence,expected,label,latency_ms,model_name,ok,pair,requested_model,returned_model,text,wall_ms,warmup
classifier.dev,feedback-03,0.8855,praise,praise,418.850718,classifier-laya,True,14,laya,laya-0.3.4-english-fast,The new dashboard looks fantastic and is a pleasure to use.,569.754796,False
classifier.dev,feedback-03,1.0,praise,praise,414.180468,classifier-jev,True,14,jev,jev-1.13.0,The new dashboard looks fantastic and is a pleasure to use.,540.000836,False
classifier.dev,feedback-17,1.0,bug report,bug report,329.644218,classifier-jev,True,15,jev,jev-1.13.0,"The progress bar reaches 100 percent, but the uploaded file never appears.",447.253219,False
classifier.dev,feedback-17,0.794,bug report,bug report,413.692931,classifier-laya,True,15,laya,laya-0.3.4-english-fast,"The progress bar reaches 100 percent, but the uploaded file never appears.",533.671188,False
classifier.dev,feedback-08,1.0,other,other,386.286516,classifier-jev,True,16,jev,jev-1.13.0,Where can I find a copy of last month's invoice?,503.582704,False
classifier.dev,feedback-08,0.4435,other,other,574.396718,classifier-laya,True,16,laya,laya-0.3.4-english-fast,Where can I find a copy of last month's invoice?,787.813188,False
classifier.dev,feedback-09,0.6807,bug report,bug report,462.945615,classifier-laya,True,17,laya,laya-0.3.4-english-fast,The search field returns no results for files that are visible in my folder.,625.751016,False
classifier.dev,feedback-09,1.0,bug report,bug report,396.343161,classifier-jev,True,17,jev,jev-1.13.0,The search field returns no results for files that are visible in my folder.,525.015415,False
classifier.dev,feedback-01,0.8543,bug report,bug report,610.048441,classifier-laya,True,18,laya,laya-0.3.4-english-fast,The app crashes every time I click Export.,758.536542,False
classifier.dev,feedback-01,1.0,bug report,bug report,423.645729,classifier-jev,True,18,jev,jev-1.13.0,The app crashes every time I click Export.,579.194726,False
classifier.dev,feedback-04,1.0,other,other,367.931025,classifier-jev,True,19,jev,jev-1.13.0,What time does your support team open on Monday?,518.662434,False
classifier.dev,feedback-04,0.2623,other,other,417.924872,classifier-laya,True,19,laya,laya-0.3.4-english-fast,What time does your support team open on Monday?,561.079506,False
