adapter,case_id,confidence,expected,label,latency_ms,model_name,ok,pair,requested_model,returned_model,text,wall_ms,warmup
openrouter-decisions,feedback-19,1.0,praise,praise,366.576025,openrouter-jev,True,7,typesafe/jev-1.13,typesafe/jev-1.13-20260917,This is the cleanest interface I have used for managing projects.,486.783901,False
classifier.dev,feedback-19,1.0,praise,praise,359.518368,classifier-jev,True,7,jev,jev-1.13.0,This is the cleanest interface I have used for managing projects.,481.572529,False
openrouter-decisions,feedback-07,1.0,praise,praise,377.401255,openrouter-jev,True,8,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Thank you for making the setup so straightforward.,489.32923,False
classifier.dev,feedback-07,1.0,praise,praise,413.972029,classifier-jev,True,8,jev,jev-1.13.0,Thank you for making the setup so straightforward.,538.232268,False
classifier.dev,feedback-13,1.0,bug report,bug report,432.169931,classifier-jev,True,9,jev,jev-1.13.0,"After I save a note and reopen it, the last paragraph is missing.",543.074294,False
openrouter-decisions,feedback-13,1.0,bug report,bug report,347.886116,openrouter-jev,True,9,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"After I save a note and reopen it, the last paragraph is missing.",460.885562,False
classifier.dev,feedback-18,1.0,feature request,feature request,371.414675,classifier-jev,True,10,jev,jev-1.13.0,Please introduce a read-only role for external reviewers.,492.247656,False
openrouter-decisions,feedback-18,1.0,feature request,feature request,377.209835,openrouter-jev,True,10,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Please introduce a read-only role for external reviewers.,515.405627,False
openrouter-decisions,feedback-11,1.0,praise,praise,337.313909,openrouter-jev,True,11,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Your support team solved my problem quickly; excellent service.,473.321909,False
classifier.dev,feedback-11,1.0,praise,praise,381.532033,classifier-jev,True,11,jev,jev-1.13.0,Your support team solved my problem quickly; excellent service.,516.285963,False
openrouter-decisions,feedback-02,1.0,feature request,feature request,352.289422,openrouter-jev,True,12,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Please add an option to export reports as CSV.,463.461637,False
classifier.dev,feedback-02,1.0,feature request,feature request,387.800979,classifier-jev,True,12,jev,jev-1.13.0,Please add an option to export reports as CSV.,542.820028,False
classifier.dev,feedback-12,1.0,other,other,332.552023,classifier-jev,True,13,jev,jev-1.13.0,Is your company based in Denmark?,421.068094,False
openrouter-decisions,feedback-12,1.0,other,other,361.301799,openrouter-jev,True,13,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Is your company based in Denmark?,451.223013,False
classifier.dev,feedback-03,1.0,praise,praise,439.315893,classifier-jev,True,14,jev,jev-1.13.0,The new dashboard looks fantastic and is a pleasure to use.,554.505684,False
openrouter-decisions,feedback-03,1.0,praise,praise,355.956473,openrouter-jev,True,14,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The new dashboard looks fantastic and is a pleasure to use.,547.498067,False
openrouter-decisions,feedback-17,1.0,bug report,bug report,332.217143,openrouter-jev,True,15,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"The progress bar reaches 100 percent, but the uploaded file never appears.",472.461356,False
classifier.dev,feedback-17,1.0,bug report,bug report,402.354909,classifier-jev,True,15,jev,jev-1.13.0,"The progress bar reaches 100 percent, but the uploaded file never appears.",584.286195,False
openrouter-decisions,feedback-08,1.0,other,other,387.150777,openrouter-jev,True,16,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Where can I find a copy of last month's invoice?,512.753632,False
classifier.dev,feedback-08,1.0,other,other,373.221798,classifier-jev,True,16,jev,jev-1.13.0,Where can I find a copy of last month's invoice?,524.668331,False
classifier.dev,feedback-09,1.0,bug report,bug report,430.202326,classifier-jev,True,17,jev,jev-1.13.0,The search field returns no results for files that are visible in my folder.,614.609276,False
openrouter-decisions,feedback-09,1.0,bug report,bug report,380.65796,openrouter-jev,True,17,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The search field returns no results for files that are visible in my folder.,532.132703,False
classifier.dev,feedback-01,1.0,bug report,bug report,452.856413,classifier-jev,True,18,jev,jev-1.13.0,The app crashes every time I click Export.,612.857271,False
openrouter-decisions,feedback-01,1.0,bug report,bug report,367.03637,openrouter-jev,True,18,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The app crashes every time I click Export.,516.074103,False
openrouter-decisions,feedback-04,1.0,other,other,491.338244,openrouter-jev,True,19,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What time does your support team open on Monday?,604.099248,False
classifier.dev,feedback-04,1.0,other,other,374.16555,classifier-jev,True,19,jev,jev-1.13.0,What time does your support team open on Monday?,501.203991,False
